날짜,카테고리,이벤트명,방향,영향지역,상세
2013-04-01,세제,취득세 영구인하,규제완화,전국,취득세율 1~3%로 영구인하(6억이하 1% 등)
2013-08-28,세제,양도세 5년간 면제,규제완화,전국,신규분양·미분양 취득시 5년간 양도세 면제
2014-01-01,세제,다주택자 양도세 중과 폐지,규제완화,전국,다주택자 양도세 중과세율(50/60%) 폐지→기본세율 적용
2014-07-24,대출,LTV/DTI 규제 완화,규제완화,전국,LTV 70%·DTI 60%로 전국 통일 완화(수도권 상향)
2014-09-01,공급,재건축 초과이익환수 유예,규제완화,전국,재건축 초과이익환수제 부과 3년간 유예
2015-04-01,세제,양도세 비과세 보유기간,규제강화,전국,1세대1주택 비과세 요건에 2년 거주 추가(조정지역)
2015-09-01,공급,주택청약제도 개편,규제완화,전국,청약통장 일원화(주택청약종합저축)
2016-02-01,대출,여신심사 가이드라인,규제강화,수도권,분할상환·소득증빙 의무화(수도권 은행권)
2016-04-25,대출,여신심사 가이드라인 확대,규제강화,전국,여신심사 가이드라인 비은행·전국 확대 적용
2016-11-03,투기억제,11.3 부동산대책,규제강화,수도권,서울 11개구 등 조정대상지역 최초 지정
2017-06-19,투기억제,6.19 부동산대책,규제강화,수도권,조정대상지역 LTV 60%·DTI 50%로 강화
2017-08-02,투기억제,8.2 부동산대책,규제강화,서울,투기과열지구 지정(서울25개구)·다주택자 양도세 중과 예고
2017-10-24,대출,가계부채 종합대책,규제강화,전국,신DTI 도입·DSR 도입 예고
2017-12-13,투기억제,임대사업자 혜택 강화,규제완화,전국,등록임대사업자 세제·대출 혜택 확대
2018-04-01,세제,다주택자 양도세 중과 시행,규제강화,조정대상지역,2주택 +10%p·3주택 +20%p 양도세 중과 시행
2018-09-13,투기억제,9.13 부동산대책,규제강화,서울,종부세율 인상안 발표·1주택 대출 규제 강화
2018-09-14,대출,DSR 시범적용,규제강화,전국,은행권 DSR 관리지표 시범 적용 시작
2018-12-19,공급,3기 신도시 발표,중립,수도권,남양주왕숙·하남교산·인천계양 등 3기 신도시 발표
2019-07-18,금리,기준금리 인하 1.50%,규제완화,전국,한국은행 기준금리 1.75%→1.50% 인하(3년만)
2019-10-16,금리,기준금리 인하 1.25%,규제완화,전국,한국은행 기준금리 1.50%→1.25% 인하
2019-12-16,투기억제,12.16 부동산대책,규제강화,서울,시가 15억 초과 주택 대출 전면 금지·9억 초과 LTV 20%
2020-02-20,투기억제,2.20 주택시장 대책,규제강화,수도권,조정대상지역 확대·전매제한 강화
2020-03-16,금리,기준금리 인하 0.75%,규제완화,전국,한국은행 기준금리 1.25%→0.75% 긴급인하(코로나)
2020-05-28,금리,기준금리 인하 0.50%,규제완화,전국,한국은행 기준금리 0.75%→0.50% 사상최저
2020-06-17,투기억제,6.17 부동산대책,규제강화,수도권,수도권 대부분 조정대상지역 지정·법인 주택 규제 강화
2020-07-10,투기억제,7.10 부동산대책,규제강화,전국,다주택자 취득세 중과(8~12%)·양도세 중과세율 추가 인상
2020-07-22,세제,종부세율 인상(7.10후속),규제강화,전국,종부세 최고세율 6%·법인 종부세 단일세율 적용
2020-08-04,공급,8.4 공급대책,규제완화,서울,서울 재건축 규제완화·용적률 상향(공공참여시)
2021-02-04,공급,2.4 공급대책,규제완화,수도권,전국 83.6만호 공급계획·공공주도 재개발·재건축 발표
2021-06-01,세제,양도세 장특공제 축소,규제강화,전국,다주택자 양도세 중과세율 추가 인상(2주택+20%p·3주택+30%p)
2021-08-26,금리,기준금리 인상 0.75%,규제강화,전국,한국은행 기준금리 0.50%→0.75% 인상 시작
2021-11-25,금리,기준금리 인상 1.00%,규제강화,전국,한국은행 기준금리 0.75%→1.00% 인상
2022-01-13,금리,기준금리 인상 1.25%,규제강화,전국,한국은행 기준금리 1.00%→1.25% 인상
2022-01-14,대출,총부채원리금상환비율 DSR 시행,규제강화,전국,DSR 40% 규제 1단계 시행(2억 초과 대출)
2022-04-14,금리,기준금리 인상 1.50%,규제강화,전국,한국은행 기준금리 1.25%→1.50% 인상
2022-05-10,세제,다주택자 양도세 중과 유예,규제완화,전국,다주택자 양도세 중과 1년간 한시 배제(윤석열 정부)
2022-05-26,금리,기준금리 인상 1.75%,규제강화,전국,한국은행 기준금리 1.50%→1.75% 인상
2022-07-01,대출,DSR 2단계 시행,규제강화,전국,DSR 40% 규제 2단계(1억 초과 대출 확대 적용)
2022-07-13,금리,기준금리 인상 2.25%,규제강화,전국,한국은행 기준금리 1.75%→2.25%(빅스텝 0.50%p)
2022-08-16,공급,250만호 공급계획,규제완화,전국,2023~2027년 250만호 주택 공급 로드맵 발표
2022-08-25,금리,기준금리 인상 2.50%,규제강화,전국,한국은행 기준금리 2.25%→2.50% 인상
2022-09-21,투기억제,투기과열지구 해제(1차),규제완화,지방,세종·대전·청주 등 지방 투기과열지구 해제
2022-10-12,금리,기준금리 인상 3.00%,규제강화,전국,한국은행 기준금리 2.50%→3.00%(빅스텝)
2022-11-14,투기억제,투기과열지구 해제(2차),규제완화,수도권,경기·인천 투기과열지구 대부분 해제
2022-11-24,금리,기준금리 인상 3.25%,규제강화,전국,한국은행 기준금리 3.00%→3.25% 인상
2022-12-21,세제,종부세 완화,규제완화,전국,종부세 기본공제 9억→12억(1주택 12→18억)·세율 인하
2022-12-21,대출,대출규제 완화(LTV),규제완화,전국,규제지역 LTV 30→50%·생애최초 LTV 80% 적용
2023-01-05,투기억제,조정대상지역 전면 해제,규제완화,전국,서울 강남3구·용산 제외 전국 조정대상지역 해제
2023-01-13,금리,기준금리 인상 3.50%,규제강화,전국,한국은행 기준금리 3.25%→3.50%(최종 인상)
2023-01-03,대출,특례보금자리론 출시,규제완화,전국,최대 5억·고정금리 특례보금자리론(~9월)
2023-04-04,투기억제,서울 규제지역 추가 해제,규제완화,서울,강남·서초·송파·용산 투기과열지구 해제
2023-09-26,대출,50년 만기 주담대 규제,규제강화,전국,50년 만기 주담대 DSR 산정시 40년 기준 적용
2024-01-04,대출,신생아특례대출 출시,규제완화,전국,출산가구 주담대 최저 1.6%·전세 1.1% 특례대출
2024-01-10,세제,다주택자 양도세 중과 유예 연장,규제완화,전국,다주택자 양도세 중과배제 2025년 5월까지 연장
2024-03-30,공급,GTX-A 개통(수서~동탄),중립,수도권,수도권광역급행철도(GTX-A) 수서~동탄 구간 개통
2024-09-01,대출,스트레스DSR 1단계,규제강화,전국,변동·혼합금리 대출 스트레스DSR 가산금리 적용
2024-09-02,대출,2단계 대출규제 강화,규제강화,서울,서울 주담대 DSR 강화·시중은행 대출 총량관리 돌입
2024-10-11,금리,기준금리 인하 3.25%,규제완화,전국,한국은행 기준금리 3.50%→3.25%(3년2개월만에 인하)
2024-11-28,금리,기준금리 인하 3.00%,규제완화,전국,한국은행 기준금리 3.25%→3.00% 인하
2025-01-01,세제,다주택자 양도세 중과 유예 재연장,규제완화,전국,다주택자 양도세 중과배제 2026년 5월까지 재연장
2025-01-16,금리,기준금리 동결 3.00%,중립,전국,한국은행 기준금리 3.00% 동결
2025-02-27,금리,기준금리 인하 2.75%,규제완화,전국,한국은행 기준금리 3.00%→2.75% 인하
2025-04-17,금리,기준금리 인하 2.50%,규제완화,전국,한국은행 기준금리 2.75%→2.50% 인하
2025-07-01,대출,스트레스DSR 3단계,규제강화,전국,모든 가계대출에 스트레스DSR 가산금리 전면 적용
