일자,유형,규제구분,대상지역
2016-11-03,지정,조정대상지역,"서울 전역(25구), 과천, 세종"
2017-08-02,지정,투기과열지구,"서울 전역(25구), 과천, 세종"
2017-08-02,지정,투기지역,서울 11구 (강남/서초/송파/강동/용산/성동/노원/마포/양천/영등포/강서)
2017-09-06,확대,조정대상지역,경기 7개시(성남/하남/고양/남양주/동탄2/광명 등)
2018-08-27,확대,투기과열지구,경기 광명/하남
2018-12-31,확대,조정대상지역,수원/안양/안산/구리/군포/의왕/용인 등
2020-06-19,확대,조정대상지역,"인천(연수/남동/부평), 경기(안성/광주/김포 등) 대거 편입"
2020-06-19,확대,투기과열지구,경기 수원/성남/안양/안산 등
2020-12-17,확대,조정대상지역,경기 화성/파주/포천 등 추가
2022-09-26,해제,조정대상지역,서울/과천/성남분당/하남/광명 제외 전국 해제
2022-11-14,해제,투기과열지구/조정,서울 4구(강남/서초/송파/용산)+과천만 잔존
2023-01-05,해제,투기과열지구/조정,과천 해제 → 서울 4구만 잔존
2023-06-27,전면해제,전체,서울 4구 포함 전국 규제지역 전면 해제
2025-10-15,재지정,투기과열지구,서울 25구 + 경기 12개시(성남/하남/광명/과천/수원/안양/안산/고양/용인/화성/구리/광주)
