effective_date,announcement_date,policy_name,region_scope,borrower_scope,ltv_change,dsr_change,stress_dsr_change,price_loan_limit,implementation_note,source_title,source_url,official_source,dashboard_tags
2017-08-23,2017-08-23,8.2 주택시장 안정화 방안 후속: 투기지역·투기과열지구 LTV/DTI 40%,투기지역·투기과열지구,가계 주담대; 주담대 1건 이상 보유세대 추가대출은 10%p 강화,"LTV 40%; 서민·실수요자(무주택, 부부합산 7천만원/생애최초 8천만원 이하, 6억원 이하 주택) 10%p 완화; 주담대 1건 이상 보유세대 추가대출 10%p 강화",DSR 직접 변경 없음(당시 DTI 중심),해당없음,6억원 이하 서민·실수요자 우대; 투기지역 소재 아파트 세대당 담보대출 1건 제한,"5개 감독규정 개정 의결, 신규 지정 효력발생일 관련 경과조치","금융위원회, [보도참고]「8.2 주택시장 안정화 방안」 관련 5개 감독규정 개정",https://www.fsc.go.kr/no010101/72791,Y,"LTV,DTI,투기지역,투기과열지구"
2018-09-14,2018-09-13,9.13 주택시장 안정대책 금융부문 후속 행정지도,규제지역 중심,다주택자·주택구입 목적 주담대 등,주택시장 안정대책 금융부문 후속조치; 세부 FAQ/행정지도 시행(다주택자·규제지역 대출 강화),가계부채 관리 및 후속조치 점검; DSR 직접 핵심 변화는 2019.12·2021에 별도 반영,해당없음,가격구간 직접 한도보다 보유주택·구입목적 제한 중심,금융권 실무자 간담회 및 9.13대책 금융부문 FAQ 배포. 세부 정량값은 원문 FAQ 확인 필요,"금융위원회, 주택시장 안정대책 후속조치 위한 금융권 실무자 간담회(9.13대책 FAQ 첨부)",https://www.fsc.go.kr/no010101/73313,Y,"9.13대책,행정지도,FAQ"
2019-12-17,2019-12-16,12.16 주택시장 안정화 방안: 15억원 초과 아파트 주담대 금지,투기지역·투기과열지구,"가계, 개인사업자, 법인(주택구입목적)",투기지역·투기과열지구 소재 15억원 초과 아파트 구입목적 주담대 금지(LTV 0%),후속조치에서 9억원 초과 주택담보대출 차주 단위 DSR 적용,해당없음,15억원 초과 아파트 주택구입목적 주담대 금지,초고가 아파트 구입목적 주담대 금지는 대책 발표 직후 12.17 행정지도 시행,"금융위원회, 「주택시장 안정화 방안」",https://www.fsc.go.kr/no010101/74031,Y,"15억원,LTV0,초고가아파트"
2019-12-23,2019-12-23,"12.16 후속: 9억원 초과분 LTV 20%, 차주단위 DSR",투기지역·투기과열지구,"가계, 주택임대업·주택매매업 개인사업자 및 법인","시가 9억원 이하분 LTV 40%, 9억원 초과분 LTV 20%; 15억원 초과 아파트 구입목적은 LTV 0% 유지","투기지역·투기과열지구 시가 9억원 초과 주택담보대출 차주에 차주단위 DSR 적용(은행 40%, 비은행 60%)",해당없음,"9억원 기준 역진율 구조(≤9억 40%, >9억 20%); >15억 아파트 구입목적 금지",12.23부터 행정지도 시행,"금융위원회, 「주택시장 안정화 방안」 금융부문 후속조치 시행",https://www.fsc.go.kr/no010101/74057,Y,"9억원,15억원,LTV20,DSR40"
2021-07-01,2021-04-29,가계부채 관리방안: 차주단위 DSR 1단계 확대,전국/규제지역 조건,주담대·신용대출 차주,무주택 실수요자 LTV 우대 확대 병행(별도 2021.5 조치),"차주단위 DSR 단계적 확대: 1단계는 투기·과열지구 9억원 초과 주택 주담대, 연소득 8천만원 초과 및 1억원 초과 신용대출 등",Stress DSR 도입 검토 전 단계,9억원 초과 주택 기준이 DSR 적용 트리거,2021.10 강화방안에서 2·3단계 일정 조기화,"금융위원회, 「가계부채 관리방안」(2021.4.29) / 2021.10 강화방안 원문 내 현행표",https://www.fsc.go.kr/no010101/76740,Y,"DSR,차주단위DSR,9억원"
2022-01-01,2021-10-26,가계부채 관리 강화방안: 차주단위 DSR 2단계 조기시행,전국; 규제지역 조건 포함,총대출액 2억원 초과 차주 등,직접 LTV 변화보다 DSR 조기 확대 중심,"2단계 2022.7→2022.1 조기시행: 총대출액 2억원 초과 차주(기존 전 규제지역 6억원 초과 주택 주담대, 1억원 초과 신용대출 기준 유지); 제2금융권 차주단위 DSR 60%→50%",Stress DSR 도입 사전예고,전 규제지역 6억원 초과 주택 주담대가 적용대상으로 유지,"행정지도→감독규정, 카드론 DSR 포함 등 병행","금융위원회, 「가계부채 관리 강화방안」 발표",https://www.fsc.go.kr/no010101/76740,Y,"DSR,2억원,6억원,제2금융권"
2022-07-01,2021-10-26,가계부채 관리 강화방안: 차주단위 DSR 3단계 조기시행,전국,총대출액 1억원 초과 차주,직접 LTV 변화 없음,"3단계 2023.7→2022.7 조기시행: 총대출액 1억원 초과 차주로 확대, 기존 주택가격/신용대출별 적용 트리거 폐지",해당없음,가격구간보다 총대출액 1억원 기준으로 단순화,"은행 DSR 40%, 제2금융권 50% 체계","금융위원회, 「가계부채 관리 강화방안」 발표",https://www.fsc.go.kr/no010101/76740,Y,"DSR,1억원,차주단위DSR"
2022-08-01,2022-06-16,새정부 가계대출 관리방향: 생애최초 LTV 80% 등 규제 정상화,전국,생애최초 주택구입자 등 실수요자,생애최초 주택구입자 LTV 상한 80%로 완화(주택 소재지역·가격·소득과 무관한 방향),차주단위 DSR 기본틀 유지,해당없음,생애최초 주택구입자 LTV 80%; 가격구간 규제 일부 정상화,새정부 경제정책방향 관련 별첨 자료 기준,"금융위원회, 새정부 가계대출 관리방향 및 단계적 규제 정상화방안",https://www.fsc.go.kr/no010101/77929,Y,"LTV80,생애최초,규제정상화"
2023-03-02,2023-01-30,규제지역 다주택자 주담대 허용 등 대출규제 정상화,규제지역,"다주택자, 임대·매매사업자 등",규제지역 다주택자 주담대 허용(LTV 0%→30%) 등 정상화 조치; 임대·매매사업자 주담대 허용 방향,차주단위 DSR 유지,해당없음,기존 15억원 초과 아파트 주담대 금지 등은 2022.12~2023 정상화 과정에서 완화/폐지 흐름,검색/요약용 주요 이벤트. 세부 값은 금융위 감독규정 개정 보도자료 원문 추가 확인 권장,"금융위원회, 2023년 1월중 가계대출 동향 및 대출규제 정상화 관련 보도자료",https://www.fsc.go.kr/no010101/79411,Y,"다주택자,LTV30,규제정상화"
2024-02-26,2023-12-27,스트레스 DSR 1단계 도입,전국,은행권 주택담보대출 차주,직접 LTV 변화 없음,기존 DSR 산정 시 미래 금리변동위험 가산,"은행권 주담대부터 스트레스 DSR 시행; 2024 상반기 스트레스 금리 25% 적용, 2024 하반기 50%, 2025년 100% 계획(이후 일정 조정)",가격구간 기준 아님; DSR 산식상 한도 감소,2024.2.26 시행 보도참고에서 스트레스 금리 0.38% 안내,"금융위원회, 전 금융권 변동·혼합·주기형 대출 스트레스 DSR 제도 시행",https://www.fsc.go.kr/no010101/81343,Y,"스트레스DSR,은행주담대"
